Donchian,VolThresh,StopMult,TPMult,NetReturn,MaxDrawdown,Sharpe
30,0.8,3.0,10.0,-0.19286276857823695,-0.48005331053759603,-0.08679443421440539
30,1.0,2.5,10.0,-0.12873649249771735,-0.37264362520690647,-0.0906116758896463
20,0.8,2.0,6.0,-0.15735804101432496,-0.3316700966345015,-0.09735929612402588
30,0.8,3.0,6.0,-0.199488226311588,-0.4828217378871867,-0.11840163549747466
40,0.8,2.5,10.0,-0.1613386547922162,-0.3168533438011767,-0.11899306525202238
40,0.8,3.0,6.0,-0.1761548599001553,-0.37814024927584755,-0.1252212638846666
30,0.8,3.0,8.0,-0.2041472653612901,-0.47349492084386496,-0.12612493302952818
20,1.0,3.0,10.0,-0.1954057415720785,-0.41276768094174526,-0.12656780201422296
20,0.8,2.5,8.0,-0.2125588058357982,-0.4208691163240162,-0.128656002901958
10,1.2,2.0,8.0,-0.09001641394670441,-0.24308748445815836,-0.12953180489524443
30,1.0,3.0,6.0,-0.16742744742911744,-0.44501606265732707,-0.134700478546059
30,1.0,2.5,6.0,-0.13773519478266388,-0.3775872360855581,-0.1350591982809704
20,1.0,2.5,4.0,-0.1489202601639505,-0.3334200605336971,-0.13658330028168394
30,0.8,2.5,10.0,-0.1913421701789487,-0.41674953441425466,-0.13728706841584945
40,1.0,1.5,10.0,-0.098806176933389,-0.2518889382240314,-0.1383912241454008
40,1.2,1.5,4.0,-0.05574107472189589,-0.13921112508396563,-0.13926335461995973
10,1.0,2.0,8.0,-0.17795423681954473,-0.34417221656549846,-0.14097213822830412
20,1.0,3.0,4.0,-0.18591689307720016,-0.4192591335057621,-0.14397205544236982
10,1.0,1.5,4.0,-0.142559156171044,-0.2886011698180284,-0.15367115911203766
20,1.0,3.0,6.0,-0.20120058451083114,-0.41530410038368853,-0.1607848398611141
40,0.8,2.5,6.0,-0.17289369154993564,-0.31192410979670365,-0.167694083661069
40,1.0,1.5,8.0,-0.10744453364762903,-0.2518889382240314,-0.1717446026949963
10,1.2,3.0,4.0,-0.1273883686397905,-0.30552257110469905,-0.17468213786631934
30,1.0,3.0,4.0,-0.18262413280570017,-0.45170295008504496,-0.17797945370420845
40,0.8,2.5,4.0,-0.1697939096047985,-0.3138820638496143,-0.1831049411403397
10,1.2,2.0,4.0,-0.10330171555491434,-0.24642898330254723,-0.1836176368699133
10,1.2,2.0,6.0,-0.10814916577398052,-0.2653656443474472,-0.1871979798721117
10,1.0,2.0,4.0,-0.18704415389756224,-0.351817689012416,-0.18764673785119274
10,1.2,2.5,8.0,-0.12631701057859154,-0.30379407556077215,-0.19083744420643883
40,1.0,2.0,4.0,-0.12836606135613965,-0.2636079177464472,-0.19516111580337075
40,1.0,3.0,10.0,-0.2035590938999515,-0.39775142160255234,-0.19626075831978487
30,1.0,2.5,4.0,-0.16347301486051838,-0.3758633788717313,-0.20775193531495292
40,0.8,2.5,8.0,-0.19674354041971082,-0.316589463519682,-0.2087241074829712
10,1.0,2.5,10.0,-0.24641515697597133,-0.4413247266559771,-0.2142975094650916
40,1.0,1.5,4.0,-0.11846138559830324,-0.235673613737772,-0.21590082638820665
40,1.0,2.0,8.0,-0.15013170656625643,-0.2947783410645967,-0.2188708822235068
20,0.8,3.0,4.0,-0.2838509947794675,-0.514096582983992,-0.21951901630669163
30,0.8,2.5,8.0,-0.2288460144894858,-0.4222392287126484,-0.2215165483762943
10,0.8,2.0,6.0,-0.3074497532618654,-0.4490598495622729,-0.22478108093534488
30,0.8,3.0,4.0,-0.2549553060929586,-0.46258462075076046,-0.22649933342391848
20,0.8,2.5,4.0,-0.2520593607237854,-0.4492924750241531,-0.2350119195208872
40,1.0,2.5,10.0,-0.1970331396942869,-0.332301820772999,-0.23987314477268848
30,1.0,3.0,8.0,-0.22842716281409176,-0.4526773846595594,-0.2448826228002602
30,0.8,2.5,6.0,-0.24016447317478168,-0.4151504478398325,-0.24576793610628575
10,1.0,2.5,6.0,-0.25077009804823575,-0.4004675489684495,-0.24682113825007163
20,0.8,2.5,10.0,-0.2817802073607436,-0.4346316421080722,-0.24809888120981394
30,0.8,2.5,4.0,-0.23137848451978424,-0.39983449258508924,-0.2509970239332576
20,0.8,3.0,10.0,-0.3192991918875711,-0.510043360164708,-0.25197054297911275
10,1.2,1.5,4.0,-0.10691919439079138,-0.231794379400948,-0.25209604667648006
10,1.0,3.0,6.0,-0.28538301029787044,-0.4351310211777092,-0.25743825656433733
40,0.8,3.0,4.0,-0.24010325844018135,-0.37413150803202205,-0.26264687294544603
10,0.8,2.0,4.0,-0.31926180925271946,-0.486426073790097,-0.27234609793361464
10,0.8,2.5,10.0,-0.3846067999058131,-0.5932896444032257,-0.27534255438248445
